prolific_pid,trial,chosen_number,winner_number,win_status,consider_set_size,outcome_rel_to_consider,is_no_consider_trial,winner_in_consider,choice_in_consider,regret_chosen,regret_notchosen_winner,comp_tries_to_pass,feedback,age,gamble_freq_12mo,hot_reliance,race,gender,ethnicity
P0004,12,7,7,Won,8,NA,FALSE,TRUE,TRUE,0,NA,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,13,1,3,Lost,3,winner_in_set,FALSE,TRUE,TRUE,17,33,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,14,1,29,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,1,3,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,15,1,16,Lost,0,NA,TRUE,FALSE,FALSE,0,3,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,16,1,1,Won,2,NA,FALSE,TRUE,TRUE,0,NA,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,17,34,33,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,4,11,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,18,22,28,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,2,4,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,19,21,29,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,1,4,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,20,22,34,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,1,3,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,21,22,9,Lost,0,NA,TRUE,FALSE,FALSE,4,7,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,22,22,35,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,1,3,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,23,22,22,Won,0,NA,TRUE,FALSE,FALSE,0,NA,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0004,24,27,28,Lost,16,winner_in_set,FALSE,TRUE,TRUE,8,15,2,"It seemed like a lot of the early ones were in the single digits so I was picking those. Then I kind of went with some ""favorite"" numbers.",38,Never,NA,White,Male,Non-Hispanic
P0006,1,12,13,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,100,79,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,2,20,8,Lost,0,NA,TRUE,FALSE,FALSE,100,66,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,3,17,17,Won,1,NA,FALSE,TRUE,TRUE,0,NA,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,4,21,11,Lost,2,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,5,15,12,Lost,16,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,6,12,8,Lost,3,winner_in_set,FALSE,TRUE,TRUE,100,75,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,7,12,21,Lost,3,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,8,12,11,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,9,12,11,Lost,2,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,10,12,19,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,100,69,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,11,12,4,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,100,50,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,12,12,12,Won,0,NA,TRUE,FALSE,FALSE,0,NA,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,13,12,8,Lost,16,winner_in_set,FALSE,TRUE,TRUE,100,34,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,14,12,14,Lost,0,NA,TRUE,FALSE,FALSE,100,72,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,15,12,24,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,100,17,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,16,12,12,Won,1,NA,FALSE,TRUE,TRUE,0,NA,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,17,12,21,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,100,48,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,18,12,19,Lost,8,winner_in_set,FALSE,TRUE,TRUE,100,79,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,19,12,3,Lost,8,winner_in_set,FALSE,TRUE,TRUE,100,87,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,20,12,14,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,100,21,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,21,12,35,Lost,0,NA,TRUE,FALSE,FALSE,100,29,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,22,12,13,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,100,80,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,23,12,12,Won,8,NA,FALSE,TRUE,TRUE,0,NA,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0006,24,12,7,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,100,12,1,I chose randomly and hoped for the best,33,Never,NA,Asian,Male,Non-Hispanic
P0009,1,28,7,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,52,60,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,2,15,14,Lost,8,winner_in_set,FALSE,TRUE,TRUE,29,53,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,3,1,8,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,59,77,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,4,16,9,Lost,3,winner_in_set,FALSE,TRUE,TRUE,39,62,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,5,7,7,Won,3,NA,FALSE,TRUE,TRUE,0,NA,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,6,21,4,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,67,70,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,7,9,6,Lost,0,NA,TRUE,FALSE,FALSE,66,55,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,8,16,36,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,57,78,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,9,9,29,Lost,0,NA,TRUE,FALSE,FALSE,58,61,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,10,28,10,Lost,16,winner_in_set,FALSE,TRUE,TRUE,54,69,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,11,8,26,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,27,20,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,12,17,17,Won,1,NA,FALSE,TRUE,TRUE,0,NA,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,13,22,30,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,52,63,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,14,15,9,Lost,2,winner_in_set,FALSE,TRUE,TRUE,52,61,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,15,34,34,Won,2,NA,FALSE,TRUE,TRUE,0,NA,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,16,17,36,Lost,16,winner_in_set,FALSE,TRUE,TRUE,60,78,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,17,36,18,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,61,60,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,18,21,3,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,67,69,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,19,27,4,Lost,8,winner_in_set,FALSE,TRUE,TRUE,54,59,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,20,20,31,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,53,63,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,21,15,29,Lost,0,NA,TRUE,FALSE,FALSE,31,36,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,22,35,35,Won,1,NA,FALSE,TRUE,TRUE,0,NA,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,23,9,28,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,50,61,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0009,24,33,23,Lost,0,NA,TRUE,FALSE,FALSE,52,46,3,I guessed to the best of my ability,50,Never,NA,White,Female,Non-Hispanic
P0010,1,22,28,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,80,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,2,28,14,Lost,16,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,3,9,18,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,4,28,8,Lost,0,NA,TRUE,FALSE,FALSE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,5,17,6,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,6,34,34,Won,8,NA,FALSE,TRUE,TRUE,0,NA,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,7,34,33,Lost,16,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,8,10,17,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,9,16,25,Lost,0,NA,TRUE,FALSE,FALSE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,10,21,21,Won,8,NA,FALSE,TRUE,TRUE,100,NA,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,11,29,8,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,12,16,30,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,13,28,24,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,14,17,29,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,99,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,15,10,16,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,16,16,16,Won,0,NA,TRUE,FALSE,FALSE,0,NA,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,17,29,31,Lost,2,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,18,34,36,Lost,8,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,19,11,23,Lost,3,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,20,1,15,Lost,2,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,21,13,25,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,22,29,29,Won,0,NA,TRUE,FALSE,FALSE,100,NA,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,23,8,5,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0010,24,35,11,Lost,3,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just tried to guess the best I could,57,Never,NA,White,Female,Non-Hispanic
P0012,1,22,32,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,0,4,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,2,8,18,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,0,7,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,3,22,18,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,0,5,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,4,18,22,Lost,2,winner_in_set,FALSE,TRUE,TRUE,1,6,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,5,21,21,Won,0,NA,TRUE,FALSE,FALSE,0,NA,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,6,22,24,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,0,7,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,7,20,11,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,0,4,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,8,15,3,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,0,4,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,9,10,11,Lost,3,winner_in_set,FALSE,TRUE,TRUE,4,6,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,10,22,30,Lost,16,winner_in_set,FALSE,TRUE,TRUE,0,3,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,11,15,15,Won,16,NA,FALSE,TRUE,TRUE,0,NA,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,12,15,24,Lost,8,winner_in_set,FALSE,TRUE,TRUE,0,7,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,13,15,7,Lost,16,winner_in_set,FALSE,TRUE,TRUE,0,3,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,14,20,36,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,0,7,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,15,10,10,Won,8,NA,FALSE,TRUE,TRUE,0,NA,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,16,14,27,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,0,9,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,17,26,16,Lost,0,NA,TRUE,FALSE,FALSE,0,9,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,18,27,16,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,0,5,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,19,23,20,Lost,3,winner_in_set,FALSE,TRUE,TRUE,0,5,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,20,24,10,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,0,4,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,21,17,3,Lost,0,NA,TRUE,FALSE,FALSE,0,12,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,22,14,22,Lost,2,winner_in_set,FALSE,TRUE,TRUE,0,5,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,23,28,31,Lost,0,NA,TRUE,FALSE,FALSE,0,9,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0012,24,15,15,Won,1,NA,FALSE,TRUE,TRUE,0,NA,2,I just clicked randomly. I didn't think there was really any kind of strategy.,42,Never,NA,,Male,Non-Hispanic
P0018,1,25,11,Lost,2,winner_in_set,FALSE,TRUE,TRUE,96,100,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,2,8,1,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,20,11,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,3,27,10,Lost,8,winner_in_set,FALSE,TRUE,TRUE,59,51,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,4,19,26,Lost,8,winner_not_in_set,FALSE,FALSE,TRUE,5,15,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,5,11,13,Lost,16,winner_in_set,FALSE,TRUE,TRUE,23,45,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,6,33,33,Won,3,NA,FALSE,TRUE,TRUE,0,NA,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,7,14,20,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,6,18,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,8,30,18,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,12,8,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,9,5,5,Won,8,NA,FALSE,TRUE,TRUE,0,NA,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,10,2,3,Lost,0,NA,TRUE,FALSE,FALSE,19,46,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,11,6,29,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,5,12,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,12,36,15,Lost,0,NA,TRUE,FALSE,FALSE,1,7,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,13,1,18,Lost,2,winner_not_in_set,FALSE,FALSE,TRUE,5,10,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,14,5,7,Lost,0,NA,TRUE,FALSE,FALSE,7,20,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,15,16,6,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,7,4,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,16,13,13,Won,1,NA,FALSE,TRUE,TRUE,0,NA,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,17,20,18,Lost,16,winner_in_set,FALSE,TRUE,TRUE,3,8,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,18,7,21,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,3,8,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,19,5,33,Lost,2,winner_in_set,FALSE,TRUE,TRUE,67,93,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,20,20,23,Lost,3,winner_in_set,FALSE,TRUE,TRUE,64,89,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,21,21,21,Won,8,NA,FALSE,TRUE,TRUE,0,NA,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,22,15,3,Lost,0,NA,TRUE,FALSE,FALSE,10,9,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,23,14,16,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,3,6,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0018,24,15,13,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,3,5,1,It was all pretty much random so I just chose whatever was quickest to click. There were no patterns or anything that I really noticed.,33,Never,NA,White,Male,Non-Hispanic
P0021,1,22,7,Lost,2,winner_in_set,FALSE,TRUE,TRUE,100,93,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,2,21,36,Lost,3,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,3,17,34,Lost,0,NA,TRUE,FALSE,FALSE,100,100,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,4,26,26,Won,8,NA,FALSE,TRUE,TRUE,0,NA,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,5,12,23,Lost,16,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,6,10,2,Lost,1,winner_not_in_set,FALSE,FALSE,TRUE,100,100,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,7,12,22,Lost,3,winner_in_set,FALSE,TRUE,TRUE,100,98,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
P0021,8,24,27,Lost,8,winner_in_set,FALSE,TRUE,TRUE,100,100,1,I just went with my gut,36,Never,NA,White,Female,Non-Hispanic
